idUnique,formeJuridiqueFr,formeJuridiqueAr,etatRegistreFr,denomination,logo,rueFr,codePostal,villeFr,domain,phone,facebook,instagram,siteweb,email,linkedin,Sector,anneeDeCreation
1955059L,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,Techoria solutions SUARL,https://media.licdn.com/dms/image/v2/D4D03AQHFFonpgkjBzA/profile-displayphoto-shrink_100_100/B4DZrrH4OOKEAU-/0/1764881302877?e=1775088000&v=beta&t=hKyQmwgRbgII08vF_sScLBSPgoubCjbvg02kJ0gtEW4,"pépiniere d'entreprises Avenue El Mourouj, Hiboun ",5111, Mahdia ,informatique,27 820 640,https://www.facebook.com/profile.php?id=61578077781481#,https://www.instagram.com/techoria_solutions/,,,https://www.linkedin.com/posts/techoria-solutions-2041283a0_bienvenue-%C3%A0-bord-nous-avons-le-plaisir-activity-7412250121284915201-Q_uJ/?originalSubdomain=fr,DevWeb,
1957293D,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Aice Services,https://tse2.mm.bing.net/th/id/OIP.T-4e2jrPJRhPSWIN2eyZOwHaHa?pid=Api&P=0&h=180,"Immeuble Melika, rue du lac Windermere, les berges du lac",1053, La Marsa ,informatique,,,,,,,,
1956565E,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,NEXTLOOP TECHNOLOGIES,https://tse1.mm.bing.net/th/id/OIP.LuU_MMSvO2jizQeDhPeqIQAAAA?pid=Api&P=0&h=180,Avenue Mohamed Beji Caïd Essebsi,1082, El Menzah ,informatique,,,,https://www.nextlooptechnologies.com/,,,"Software Development, Blockchain, Cloud",
1961448J,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,JDINFO,https://tse2.mm.bing.net/th/id/OIP.YrpMVvQEHCct8ufIekdqZgHaJB?pid=Api&P=0&h=180,"13 RUE DES JUGES , El Menzah 6 , BUR 6, 2 Etg,",2091, Ariana Ville ,informatique,,,,,,,,
1948135N,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,REMOTE TECHNICAL SUPPORT AND SERVICES,https://tse2.mm.bing.net/th/id/OIP.B9JUMTgVQBMQ7T2EWBzorAHaGy?pid=Api&P=0&h=180,39 AVENUE DU JAPON BLOC A ETAGE 3 MONTPLAISIR ,1073, Bab Bhar ,informatique,,,,,,,,
1959795F,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,Tifaout,,01 rue al kharouba cité la jeunesse ,8045, El Haouaria ,informatique,,,,,,,,
0872949X,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,EDATIS TUNISIE,https://tse3.mm.bing.net/th/id/OIP.b7k4g7cP85UtLgWTl0GUXAAAAA?pid=Api&P=0&h=180,Rue Hèdi khafcha n°8 Menzeh 1 ,1082, El Menzah ,informatique,,,,,,,télécom,
1957704B,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,AGENTIX DIGITAL SOLUTIONS & ARTIFICIAL INTELLIGENCE SARL,,02 IMM WOUROUD RUE BIZERTE TROCADERO ,4000, Sousse Ville ,informatique,,,,,,,,
1100388A,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,INSYS,,Route de Mahdia km 5.2 ZI El Boudière 2 ,3002,Sfax,informatique,74 234 284 / 23 510 105,,,,,,IT Hardware & Services,
1958774W,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,BLUE APPLE CLOUD TECHNOLOGIES,,49 avenue Alain Savary Immeuble Vénus 2ème étage bureau B-11 LE BELVEDERE,1002, Cite El Khadra ,informatique,,,,https://www.blueapplecloudtech.com,,,"Cloud Technologies, ERP, E-commerce",
1955129H,Société Unipersonnelle à Responsabilité Limitée (SUARL),شركة الشخص الواحد ذات المسؤولية المحدودة ,Actif,TECHBGT,,Rue Leopold senghor,4000, Sousse Ville ,informatique,,,,,,,,
1118307X,Société à Responsabilité Limitée (SARL),شركة ذات المسؤولية المحدودة,Actif,DREAM HIGH TECH,,Rue Habib Bourguiba n 6 Bardo Tunis ,,,informatique,,,,,,,,
